#{"t_start": 1561044984.770769, "env_id": "threes-v0"}
r,l,t
90.0,31,41.719252
405.0,78,41.78038
534.0,93,41.850351
276.0,72,41.902909
153.0,35,41.92974
237.0,46,41.965785
156.0,39,41.996256
381.0,53,42.036474
318.0,57,42.077267
345.0,55,42.123216
120.0,27,42.144833
222.0,47,42.180466
135.0,31,42.204036
36.0,18,42.218387
396.0,68,42.268166
141.0,33,42.293284
549.0,96,42.364353
426.0,64,42.411947
402.0,62,42.456388
141.0,30,42.478458
510.0,89,42.549512
291.0,46,42.583652
168.0,37,42.613196
423.0,68,42.663798
390.0,54,42.705839
720.0,100,42.782714
234.0,46,42.818084
231.0,57,42.861335
249.0,58,42.909774
468.0,74,42.964752
186.0,44,42.999127
78.0,24,43.018012
33.0,15,43.029715
54.0,17,43.042625
402.0,68,43.094624
117.0,38,43.122604
309.0,58,43.16803
417.0,66,43.218526
369.0,63,43.272494
66.0,26,43.292248
1002.0,119,43.380684
165.0,40,43.410907
75.0,26,43.430038
381.0,58,43.474064
645.0,87,43.542157
123.0,31,43.56571
615.0,72,43.618957
192.0,40,43.65277
264.0,51,43.692377
498.0,92,43.761012
816.0,73,43.818218
669.0,92,43.887963
225.0,47,43.927054
30.0,15,43.938997
108.0,33,43.963728
84.0,23,43.982235
174.0,35,44.009413
183.0,47,44.049269
189.0,48,44.086293
483.0,68,44.138509
174.0,38,44.16799
177.0,51,44.2054
345.0,60,44.250937
270.0,56,44.294121
243.0,50,44.333334
126.0,35,44.361194
459.0,91,44.434522
267.0,62,44.481045
465.0,63,44.530133
111.0,29,44.550329
207.0,41,44.580988
1158.0,106,44.659547
141.0,29,44.681597
1209.0,130,44.779045
258.0,53,44.823843
426.0,65,44.874429
456.0,74,44.930667
201.0,50,44.96834
171.0,39,44.998136
225.0,53,45.038482
225.0,48,45.076198
81.0,25,45.095932
75.0,20,45.111967
150.0,38,45.141868
318.0,71,45.199986
399.0,78,45.253161
99.0,28,45.27397
339.0,68,45.324705
75.0,21,45.340659
399.0,66,45.390834
354.0,59,45.436826
270.0,59,45.482023
1080.0,106,45.56283
411.0,61,45.61427
189.0,41,45.645194
210.0,38,45.675415
225.0,42,45.706925
144.0,41,45.736504
294.0,65,45.78578
1293.0,119,45.878132
681.0,87,45.942427
93.0,30,45.969552
180.0,36,45.997507
372.0,65,46.046084
153.0,32,46.070277
414.0,65,46.118943
411.0,58,46.1645
345.0,53,46.204852
201.0,49,46.242232
174.0,39,46.271296
600.0,85,46.330828
162.0,36,46.362833
174.0,44,46.396665
213.0,45,46.430675
126.0,29,46.453012
489.0,90,46.519986
1020.0,113,46.602794
87.0,36,46.629022
